Região,Detalhe / Ramal,Km in,KM fim,PN in,PN fim,Km total,Ciclo ideal 15 Mtbt,Ciclo 25 Mtbt,última inspeção,Sentido trecho,Cidade início,Cidade Fim,Hotel In,Hotel fim,Delosc In,Desloc Fim,Delosc In,Desloc Fim,Preparação,Inspeção,Total
Frente Norte,Acima ZAS,329,354,Fronteira 2 / FBG,Andaime,25,95,150,9/14/2022,Bidirecional,São Brás do Suaçuí,São Brás do Suaçuí,MIRANTE,MIRANTE,1:20,1:20,2:00,2:00,1:00,1:15:00 AM,1:44:57 AM
Frente Norte,ZAS,324,329,ZAS1,ZAS2,5,95,150,9/15/2022,Bidirecional,São Brás do Suaçuí,São Brás do Suaçuí,MIRANTE,MIRANTE,0:30,1:20,0:45,2:00,1:00,12:15:00 AM,3:59:57 AM
Frente Norte,Abaixo ZAS,324,292,Fronteira 1 / P1-05,PN P1-07 Inf,32,95,150,8/4/2022,Bidirecional,São Brás do Suaçuí,São Brás do Suaçuí,MIRANTE,MIRANTE,0:30,0:20,0:45,0:30,1:00,1:36:00 AM,4:08:57 AM
Paraopeba,Belo Vale (482+950 a 504+180),477,504,PN Joaquim Murtinho SDS L1,Jeceaba,27,70,140,11/23/2022,Bidirecional,Conselheiro Lafaiete,São Brás do Suaçuí,MINAS PLATINUM HOTEL ,MIRANTE,0:30,0:20,0:45,0:30,1:00,1:21:00 AM,4:23:57 AM
Paraopeba,Belo Vale (504+180 a 560+000),504,566,Jeceaba,Melo Franco,62,70,140,11/23/2022,Bidirecional,São Brás do Suaçuí,Brumadinho,MIRANTE,NOSSA FAZENDINHA ,0:20,0:30,0:30,0:45,1:00,3:06:00 AM,2:38:57 AM
Paraopeba,Brumadinho,566,612,Melo Franco,Ibirité,46,70,140,11/23/2022,Bidirecional,Brumadinho,Betim,NOSSA FAZENDINHA ,IBIS BETIM,0:30,0:25,0:45,0:37,1:00,2:18:00 AM,3:19:27 AM
Ramal,TOD,612,624,Ibirité,TOD,12,190,365,11/23/2022,Bidirecional,Betim,Betim,IBIS BETIM.,IBIS BETIM.,0:25,0:20,0:37,0:30,1:00,12:36:00 AM,5:16:27 AM
Ramal,Barreiro,612,624,Ibirité,Barreiro,12,190,365,11/23/2022,Bidirecional,Betim,Betim,IBIS BETIM.,IBIS BETIM.,0:25,0:20,0:37,0:30,1:00,12:36:00 AM,5:16:27 AM
Ferrovia do Aço,P1-07 / Bom Jardim,292,226,PN P1-07 Inf,PN P1-11A,66,35,60,11/30/2022,Sentido decrescente,São Brás do Suaçuí,São João Del Rei,MIRANTE,PONTE REAL ,0:20,0:25,0:30,0:37,1:00,3:18:00 AM,2:34:27 AM
Ferrovia do Aço,P1-07 / Bom Jardim,226,164,PN P1-11A,PN P2-02,62,35,60,12/7/2022,Sentido decrescente,São Brás do Suaçuí,São João Del Rei,MIRANTE,PONTE REAL ,0:25,1:10,0:37,1:45,1:00,3:06:00 AM,1:31:27 AM
Ferrovia do Aço,P1-07 / Bom Jardim,164,98,PN P2-02,PN P2-06 L1 Inf,66,35,60,12/7/2022,Sentido decrescente,São João Del Rei,Bom Jardim,PONTE REAL ,HOTEL SUZI ,1:10,0:10,1:45,0:15,1:00,3:18:00 AM,1:41:57 AM
Ferrovia do Aço,Bom Jardim / Barra,98,38,PN P2-06 L1 Inf,PN P2-11 / P2-10,60,35,60,12/14/2022,Sentido decrescente,Bom Jardim,Resende,HOTEL SUZI ,CASTEL PLAZA,0:10,0:50,0:15,1:15,1:00,3:00:00 AM,2:29:57 AM
Ferrovia do Aço,Bom Jardim / Barra,38,0,PN P2-11 / P2-10,PN Quartel. Barra Mansa,38,35,60,12/14/2022,Sentido decrescente,Resende,Resende,CASTEL PLAZA,CASTEL PLAZA,0:50,0:31,1:15,0:46,1:00,1:54:00 AM,3:04:27 AM
Ferrovia do Aço,Saudade - Barra di Piraí,154,106,PN Quartel. Barra Mansa,PN Barra 1,48,35,60,9/21/2022,Bidirecional,Resende,Barra do Piraí,CASTEL PLAZA,COLONIAL ,0:31,0:15,0:46,0:22,1:00,2:24:00 AM,3:26:57 AM
Serra do Mar,Barra do Piraí - KM 64,98,64,PN Morsing/ S. Barra,Pátio do 64,34,35,60,12/21/2022,Sentido decrescente,Barra do Piraí,Itaguaí,COLONIAL ,GRANDE HOTEL,0:15,1:00,0:22,1:30,1:00,1:42:00 AM,3:25:27 AM
Serra do Mar,FBA (Km 27+000) a 64+000,64,30,Pátio do 64,PN Brisamar Travessão SD km30,34,35,60,12/21/2022,Sentido decrescente,Itaguaí,Itaguaí,GRANDE HOTEL,GRANDE HOTEL,1:00,0:10,1:30,0:15,1:00,1:42:00 AM,3:32:57 AM
Arará,R. Sobrinho,0,64,Arará,Pátio do 64,64,365,730,7/20/2022,Sentido decrescente,Rio de Janeiro,Itaguaí,IBIS BOTAFOGO,GRANDE HOTEL,0:20,1:00,0:30,1:30,1:00,3:12:00 AM,1:47:57 AM
Guaíba,Brisamar (27+120 a 0+000),30,0,PN Brisamar Travessão SD km30,PN Mangaratiba,30,70,140,11/9/2022,Sentido decrescente,Itaguaí,Itaguaí,GRANDE HOTEL,GRANDE HOTEL,0:10,1:00,0:15,1:30,1:00,1:30:00 AM,3:44:57 AM
Serra do Mar (linha 2),Barra do Piraí,64,98,Pátio do 64,PN Morsing/ S. Barra,34,105,175,8/11/2022,Sentido crescente,Itaguaí,Barra do Piraí,GRANDE HOTEL,COLONIAL ,1:00,0:15,1:30,0:22,1:00,1:42:00 AM,3:25:27 AM
Serra do Mar (linha 2),FBA – Km 27+000 a 64+000,30,64,PN Brisamar Travessão SD km30,Pátio do 64,34,105,175,8/11/2022,Sentido crescente,Itaguaí,Itaguaí,GRANDE HOTEL,GRANDE HOTEL,0:10,1:00,0:15,1:30,1:00,1:42:00 AM,3:32:57 AM
Linha do Centro,Barra / Juiz de Fora,106,170,PN Barra 1,PN Andrade Pinto. Vassouras,64,190,320,4/7/2022,Sentido crescente,Barra do Piraí,Três Rios,COLONIAL ,IBIS STYLES,0:15,0:40,0:22,1:00,1:00,3:12:00 AM,2:25:27 AM
Linha do Centro,Barra / Juiz de Fora,170,229,PN Andrade Pinto. Vassouras,Afonso Arinos,59,190,320,4/14/2022,Sentido crescente,Três Rios /Paraíba,Três Rios,IBIS STYLES,IBIS STYLES,0:40,0:40,1:00,1:00,1:00,2:57:00 AM,2:02:57 AM
Linha do Centro,Barra / Juiz de Fora,229,266,Afonso Arinos,Retiro,37,190,320,4/26/2022,Sentido crescente,Três Rios,Juiz de Fora,IBIS STYLES,SERRANO,0:40,0:15,1:00,0:22,1:00,1:51:00 AM,3:46:27 AM
Linha do Centro,Barra / Juiz de Fora,266,341,Retiro,Mantiqueira/Rocha Dias,75,190,320,4/28/2022,Sentido crescente,Juiz de Fora,Santos Dumont,SERRANO,POUSADA VILLA DUMONT,0:15,0:30,0:22,0:45,1:00,3:45:00 AM,2:07:27 AM
Linha do Centro,Barra / Juiz de Fora,341,410,Mantiqueira/Rocha Dias,PN Simão Tam,69,190,320,5/10/2022,Sentido crescente,Santos Dumont,Barbacena,POUSADA VILLA DUMONT,CARANDA,0:30,0:50,0:45,1:15,1:00,3:25:30 AM,1:34:27 AM
Linha do Centro,Barra / Juiz de Fora,410,477,PN Simão Tam,PN Joaquim Murtinho SDS L1,68,190,320,5/19/2022,Sentido crescente,Barbacena,Conselheiro Lafaiete,CARANDA,MINAS PLATINUM HOTEL ,0:50,0:30,1:15,0:45,1:00,3:22:30 AM,1:37:27 AM
Ramais,Aço Minas,477,488,PN Joaquim Murtinho SDS L1,Açominas,11,365,720,7/7/2022,Sentido crescente,Conselheiro Lafaiete,Conselheiro Lafaiete,MINAS PLATINUM HOTEL ,MINAS PLATINUM HOTEL ,0:30,0:40,0:45,1:00,1:00,12:31:30 AM,4:43:27 AM
Ramais,Burnier,477,498,PN Joaquim Murtinho SDS L1,Burnier,21,365,720,9/1/2021,Sentido crescente,Conselheiro Lafaiete,Conselheiro Lafaiete,MINAS PLATINUM HOTEL ,MINAS PLATINUM HOTEL ,0:30,0:50,0:45,1:15,1:00,1:03:00 AM,3:56:57 AM
Pinheiral (L2),FPL,154,110,PN Quartel. Barra Mansa,Estaleiro (FBP),44,105,175,10/6/2022,Bidirecional,Resende,Barra do Piraí,CASTEL PLAZA,COLONIAL ,0:31,0:25,0:46,0:37,1:00,2:12:00 AM,3:23:57 AM
Vale do Paraíba,Saudade / Taubaté,155,216,PN Quartel. Barra Mansa,PN Eng. Passos DM4,61,365,730,3/29/2022,Sentido crescente,Resende,Resende,CASTEL PLAZA,CASTEL PLAZA,0:31,0:25,0:46,0:37,1:00,3:03:00 AM,2:32:57 AM
Vale do Paraíba,Saudade / Taubaté,216,280.3,PN Eng. Passos DM4,Lorena,64,365,730,3/29/2022,Sentido crescente,Resende,C. Paulista / Lorena,CASTEL PLAZA,HOTEL DO FEIJÃO,0:25,0:20,0:37,0:30,1:00,3:12:54 AM,2:39:33 AM
Vale do Paraíba,Saudade / Taubaté,280.3,344,Lorena,PN Taubaté/ Caçapava Usiminas,64,365,730,3/31/2022,Sentido crescente,C. Paulista / Lorena,Taubaté,HOTEL DO FEIJÃO,IBIS TAUBATÉ ,0:20,0:20,0:30,0:30,1:00,3:11:06 AM,2:48:51 AM
Vale do Paraíba,Taubaté / Manoel Feio,344,376,PN Taubaté/ Caçapava Usiminas,E. De Melo,32,365,730,3/31/2022,Sentido crescente,Taubaté,S. J. dos Campos,IBIS TAUBATÉ ,HOTEL MARUÁ,0:20,0:20,0:30,0:30,1:00,1:36:00 AM,4:23:57 AM
Vale do Paraíba,Taubaté / Manoel Feio,376,418,E. De Melo,Remédios,42,365,730,8/18/2022,Sentido crescente,S. J. dos Campos,Itaquaquecetuba,HOTEL MARUÁ,HOTEL FLAMBOYANT,0:20,0:50,0:30,1:15,1:00,2:06:00 AM,3:08:57 AM
Vale do Paraíba,Taubaté / Manoel Feio,418,462,Remédios,Manoel Feio,44,365,730,8/24/2022,Sentido crescente,Itaquaquecetuba,Guarulhos,HOTEL FLAMBOYANT,MONACO ,0:50,0:40,1:15,1:00,1:00,2:12:00 AM,2:32:57 AM
Vale do Paraíba (Linha 2),Saudade / Taubaté,216,155,PN Eng. Passos DM4,PN Quartel. Barra Mansa,61,365,730,-,Sentido decrescente,Resende,Resende,CASTEL PLAZA,CASTEL PLAZA,0:25,0:30,0:37,0:45,1:00,3:03:00 AM,2:34:27 AM
Vale do Paraíba (Linha 2),Saudade / Taubaté,280.3,216,Lorena,PN Eng. Passos DM4,64,365,730,-,Sentido decrescente,C. Paulista / Lorena,Resende,HOTEL DO FEIJÃO,CASTEL PLAZA,0:20,0:25,0:30,0:37,1:00,3:12:54 AM,2:39:33 AM
Vale do Paraíba (Linha 2),Saudade / Taubaté,344,280.3,Taubaté,Lorena,64,365,730,-,Sentido decrescente,Taubaté,C. Paulista / Lorena,IBIS TAUBATÉ ,HOTEL DO FEIJÃO,0:20,0:20,0:30,0:30,1:00,3:11:06 AM,2:48:51 AM
Vale do Paraíba (Linha 2),Taubaté / Manoel Feio,376,344,E. De Melo,PN Taubaté/ Caçapava Usiminas,32,365,730,-,Sentido decrescente,S. J. dos Campos,Taubaté,HOTEL MARUÁ,IBIS TAUBATÉ ,0:20,0:20,0:30,0:30,1:00,1:36:00 AM,4:23:57 AM
Vale do Paraíba (Linha 2),Taubaté / Manoel Feio,418,376,Remédios,E. De Melo,42,365,730,-,Sentido decrescente,Itaquaquecetuba,S. J. dos Campos,HOTEL FLAMBOYANT,HOTEL MARUÁ,0:50,0:20,1:15,0:30,1:00,2:06:00 AM,3:08:57 AM
Vale do Paraíba (Linha 2),Taubaté / Manoel Feio,462,418,Manoel Feio,Remédios,44,365,730,-,Sentido decrescente,Guarulhos,Itaquaquecetuba,MONACO ,HOTEL FLAMBOYANT,0:40,0:50,1:00,1:15,1:00,2:12:00 AM,2:32:57 AM
São Paulo,Manoel Feio / Paranapiacaba,0,28,Manoel Feio,Ouro Fino,28,365,730,8/25/2022,Sentido crescente,Guarulhos,Ouro Fino,MONACO ,POUSADA SHAMBALLAH,0:40,0:40,1:00,1:00,1:00,1:24:00 AM,3:35:57 AM
São Paulo,Manoel Feio / Paranapiacaba,0,20,Ouro Fino,Paranapiacaba (L1),20,365,730,8/25/2022,Sentido crescente,Ouro Fino,Paranapiacaba,POUSADA SHAMBALLAH,POUSADA SHAMBALLAH,0:40,0:10,1:00,0:15,1:00,1:00:00 AM,4:44:57 AM
São Paulo,Manoel Feio / Paranapiacaba,421,450,São Silvestre,Mogi,29,365,730,9/21/2022,Sentido crescente,Guararema / Jacareí,Mogi,HOTEL POUSADA SAPUCAIA,HOTEL MARBOR,0:40,0:40,1:00,1:00,1:00,1:27:00 AM,3:32:57 AM
São Paulo,Manoel Feio / Paranapiacaba,30.3,44.1,Paranaíacaba (L2),RGS (sentido Mauá),14,365,730,9/21/2022,Sentido crescente,Paranapiacaba,Paranapiacaba,POUSADA SHAMBALLAH,POUSADA SHAMBALLAH,0:10,0:30,0:15,0:45,1:00,12:41:24 AM,5:18:33 AM
Baixada Santista,Santos,0,30,Santos (passando por Cubatão),Piaçaguera L1,30,190,365,8/30/2022,Bidirecional,Santos,Santos,IBIS SANTOS VALONGO,IBIS SANTOS VALONGO,0:10,0:30,0:15,0:45,1:00,1:30:00 AM,4:29:57 AM
Baixada Santista,Santos,0,12,Santos (passando por Cubatão),Piaçaguera L2 (cubatão),12,190,365,8/30/2022,Bidirecional,Santos,Santos,IBIS SANTOS VALONGO,IBIS SANTOS VALONGO,0:10,0:30,0:15,0:45,1:00,12:36:00 AM,5:23:57 AM
Baixada Santista,Conceiçãozinha,0,13,Piaçaguera,Conceiçãozinha,13,190,365,9/1/2022,Bidirecional,Santos,Santos,IBIS SANTOS VALONGO,IBIS SANTOS VALONGO,0:30,0:50,0:45,1:15,1:00,12:39:00 AM,4:20:57 AM
Baixada Santista,Ramal Fábricas e Areais,0,7.5,Fábricas,Areais,8,190,365,8/31/2022,Bidirecional,Santos,Santos,IBIS SANTOS VALONGO,IBIS SANTOS VALONGO,0:30,0:30,0:45,0:45,1:00,12:22:30 AM,5:07:27 AM
Baixada Santista,Cremalheira,19,30,Piaçaguera,Paranapiacaba,11,190,365,8/31/2022,Bidirecional,Santos,Santos,IBIS SANTOS VALONGO,POUSADA SHAMBALLAH,0:30,0:30,0:45,0:45,1:00,12:33:00 AM,4:56:57 AM
Jundiaí,Jundiaí / Campinas,0,53,Jundiaí,Campinas (Bela Vista),53,365,730,-,Sentido crescente,Jundiaí,Campinas,CENTER PARK ,EURO SUIT CAMPINAS,0:40,0:40,1:00,1:00,1:00,2:39:00 AM,2:20:57 AM
Baixada Santista,Jundiaí / Campinas,53,0,Campinas (Bela Vista),Jundiaí,53,365,730,-,Sentido decrescente,Campinas,Jundiaí,EURO SUIT CAMPINAS,CENTER PARK ,0:40,0:40,1:00,1:00,1:00,2:39:00 AM,2:20:57 AM